,Unnamed: 0,followers_count,id,link,pop_score,time,text,score,word_counts,eng_perc,platform
625,659,12480,966713615385440256,https://twitter.com/i/web/status/966713615385440256,0,2018-02-22,FB Scoop: CARA Releases Update on Status of BGC Cats,0.0,10,0.5,tw
626,660,214,965995076156452864,https://twitter.com/i/web/status/965995076156452864,5,2018-02-20,Went to BGC to feed cats,0.0,6,0.5,tw
627,661,1357,965617662800797696,https://twitter.com/i/web/status/965617662800797696,23,2018-02-19,"Guys I just want to inform you that pestbusters belong to THE TABLE GROUP including the coffeebean and tea leaf & wing stop,we should all boycott them please check this link",0.0,31,0.5161290322580645,tw
628,662,1602,966472626767003648,https://twitter.com/i/web/status/966472626767003648,0,2018-02-22,It will be almost a week now but the controversy is still hot topic online.,0.25,15,0.3333333333333333,tw
629,663,713,176874169319952384,https://twitter.com/i/web/status/176874169319952384,0,2012-03-06,"the last good season of BGC was the one with Blondie Lea and Cat , it was all downhill from there !",0.4375,20,0.35,tw
631,665,217,966714697797062656,https://twitter.com/i/web/status/966714697797062656,2,2018-02-22,I am having a cat moment today. Check out my kitties:,0.0,11,0.5454545454545454,tw
632,666,70,965447837386399744,https://twitter.com/i/web/status/965447837386399744,0,2018-02-19,What happened to the Cats of BGC? -,0.0,7,0.2857142857142857,tw
633,667,456,592226647245463552,https://twitter.com/i/web/status/592226647245463552,0,2015-04-26,Photo: Visit the Cats of Manila at their booth here in BGC.,0.0,12,0.3333333333333333,tw
634,668,1730,966346006890561536,https://twitter.com/i/web/status/966346006890561536,0,2018-02-21,Follow & Like CATS OF BGC Facebook page for updates from the investigation of the missing cats nearby Shangri-La Hotel The Fort,-0.2,21,0.47619047619047616,tw
635,669,18158,252951512504995840,https://twitter.com/i/web/status/252951512504995840,0,2012-10-02,BGC aint shit but a season of cat fights and switching roommates,-0.2,12,0.4166666666666667,tw
636,670,23,965463886492086272,https://twitter.com/i/web/status/965463886492086272,2,2018-02-19,"So, Shangrila BGC hired pests control to ~relocate~ the cats of bgc (not sure if they're still alive) and even hacking the facebook accounts of people voicing their opinions against what they did. Smh.",-0.075,35,0.42857142857142855,tw
637,672,1109,289628877268086784,https://twitter.com/i/web/status/289628877268086784,1,2013-01-11,Kristen and Cat were my favs on BGC Miami.... Speaking of Miami....,0.0,12,0.3333333333333333,tw
638,673,642,928955417002045440,https://twitter.com/i/web/status/928955417002045440,0,2017-11-10,The Cats of BGC need you! ~ When In Manila Pets &amp; Animals,0.0,12,0.5,tw
639,674,57,965924667348344832,https://twitter.com/i/web/status/965924667348344832,1,2018-02-20,wishwswswswswswsw Ano na ba?,0.0,4,0.25,tw
